id,name,category,prep_time_minutes,cook_time_minutes,servings,difficulty,ingredients,recipe_steps,image_url,calories_per_serving,protein_g,carbs_g,fat_g
1,Spaghetti Carbonara,Italian,20,15,4,Medium,"Spaghetti pasta:400g;Eggs:4 large;Parmesan cheese:100g, grated;Pancetta:150g, diced;Black pepper:1 tsp, freshly ground;Salt:to taste;Olive oil:2 tbsp","Cook spaghetti in salted boiling water until al dente;In a bowl, whisk together eggs, grated Parmesan, and black pepper;Heat olive oil in a large pan and cook pancetta until crispy;Drain pasta, reserving 1 cup of pasta water;Add hot pasta to the pan with pancetta;Remove from heat and quickly mix in egg mixture, adding pasta water gradually;Toss until creamy, serve immediately with extra Parmesan",https://images.unsplash.com/photo-1621996346565-e3dbc353d2e5?w=500,520,22,45,28
2,Chicken Tikka Masala,Indian,30,40,6,Medium,"Chicken breast:1kg, cubed;Yogurt:200ml;Garam masala:2 tsp;Tomato puree:400ml;Heavy cream:200ml;Onion:2 large, diced;Garlic:4 cloves, minced;Ginger:2 tbsp, grated;Cumin:1 tsp;Paprika:1 tsp;Vegetable oil:3 tbsp","Marinate chicken in yogurt, garam masala, and salt for 30 minutes;Heat oil in a large pan and cook marinated chicken until browned;Remove chicken and set aside;In the same pan, sauté onions until golden;Add garlic, ginger, cumin, and paprika, cook for 1 minute;Add tomato puree and simmer for 10 minutes;Return chicken to pan, add cream and simmer for 15 minutes;Serve hot with rice or naan bread",https://images.unsplash.com/photo-1565557623262-b51c2513a641?w=500,380,35,12,22
3,Caesar Salad,American,15,0,4,Easy,"Romaine lettuce:2 heads, chopped;Parmesan cheese:50g, shaved;Croutons:1 cup;Anchovy fillets:4-6 pieces;Garlic:2 cloves;Lemon juice:3 tbsp;Olive oil:6 tbsp;Egg yolk:1;Dijon mustard:1 tsp;Worcestershire sauce:1 tsp","Wash and chop romaine lettuce, pat dry;In a large bowl, mash garlic and anchovies into a paste;Whisk in lemon juice, egg yolk, and Dijon mustard;Slowly drizzle in olive oil while whisking to emulsify;Add Worcestershire sauce and black pepper;Toss lettuce with dressing until well coated;Top with Parmesan shavings and croutons;Serve immediately",https://images.unsplash.com/photo-1546793665-c74683f339c1?w=500,280,8,12,24
4,Beef Tacos,Mexican,20,15,4,Easy,"Ground beef:500g;Taco shells:8 pieces;Lettuce:1 head, shredded;Tomatoes:2 medium, diced;Cheddar cheese:200g, grated;Sour cream:150ml;Onion:1 medium, diced;Taco seasoning:1 packet;Lime:2 pieces, cut in wedges;Hot sauce:to taste","Heat taco shells in oven according to package instructions;Brown ground beef in a large skillet over medium heat;Add diced onion and cook until softened;Stir in taco seasoning and a little water, simmer for 5 minutes;Prepare toppings: shred lettuce, dice tomatoes, grate cheese;Fill taco shells with beef mixture;Top with lettuce, tomatoes, cheese, and sour cream;Serve with lime wedges and hot sauce",https://images.unsplash.com/photo-1565299624946-b28f40a0ca4b?w=500,420,28,25,25
5,Chocolate Chip Cookies,Dessert,15,12,24,Easy,"All-purpose flour:2¼ cups;Butter:1 cup, softened;Brown sugar:¾ cup, packed;White sugar:¾ cup;Eggs:2 large;Vanilla extract:2 tsp;Baking soda:1 tsp;Salt:1 tsp;Chocolate chips:2 cups","Preheat oven to 375°F (190°C);Cream together butter and both sugars until fluffy;Beat in eggs one at a time, then add vanilla;In separate bowl, combine flour, baking soda, and salt;Gradually mix dry ingredients into wet ingredients;Stir in chocolate chips;Drop rounded tablespoons of dough onto ungreased baking sheets;Bake for 9-11 minutes until golden brown;Cool on baking sheet for 2 minutes before transferring to wire rack",https://images.unsplash.com/photo-1499636136210-6f4ee915583e?w=500,180,2,26,8
6,Greek Salad,Mediterranean,15,0,4,Easy,"Cucumber:2 large, sliced;Tomatoes:4 large, wedged;Red onion:1 medium, sliced;Feta cheese:200g, cubed;Kalamata olives:½ cup, pitted;Olive oil:¼ cup;Red wine vinegar:2 tbsp;Oregano:1 tsp, dried;Salt:to taste;Black pepper:to taste","Cut cucumbers and tomatoes into bite-sized pieces;Thinly slice red onion;Combine vegetables in a large bowl;Add feta cheese cubes and olives;In a small bowl, whisk together olive oil, vinegar, and oregano;Pour dressing over salad and toss gently;Season with salt and pepper;Let stand for 10 minutes before serving to allow flavors to meld",https://images.unsplash.com/photo-1540420773420-3366772f4999?w=500,220,8,12,18
7,Fried Rice,Asian,15,10,4,Easy,"Cooked rice:4 cups, day-old preferred;Eggs:3 large, beaten;Soy sauce:3 tbsp;Vegetable oil:3 tbsp;Green onions:4 stalks, chopped;Garlic:3 cloves, minced;Frozen peas:½ cup;Carrots:1 medium, diced;Sesame oil:1 tsp;Salt:to taste","Heat 1 tbsp oil in a large wok or skillet over high heat;Add beaten eggs and scramble, then remove and set aside;Add remaining oil to the pan;Add garlic, carrots, and peas, stir-fry for 2 minutes;Add cold rice, breaking up any clumps;Stir-fry rice for 3-4 minutes until heated through;Add soy sauce and scrambled eggs back to the pan;Stir in green onions and sesame oil;Season with salt and serve hot",https://images.unsplash.com/photo-1603133872878-684f208fb84b?w=500,280,12,45,8
8,Margherita Pizza,Italian,20,15,4,Medium,"Pizza dough:1 ball, store-bought or homemade;Tomato sauce:½ cup;Fresh mozzarella:200g, sliced;Fresh basil:10-12 leaves;Olive oil:2 tbsp;Salt:to taste;Black pepper:to taste;Flour:for dusting","Preheat oven to 475°F (245°C);Roll out pizza dough on floured surface to 12-inch circle;Transfer dough to pizza stone or baking sheet;Spread tomato sauce evenly, leaving 1-inch border for crust;Arrange mozzarella slices over sauce;Drizzle with olive oil and season with salt and pepper;Bake for 12-15 minutes until crust is golden and cheese is bubbly;Remove from oven and immediately top with fresh basil leaves;Let cool for 2 minutes before slicing and serving",https://images.unsplash.com/photo-1574071318508-1cdbab80d002?w=500,320,16,38,12
9,Fish and Chips,British,20,15,4,Medium,"White fish fillets:4 pieces (cod or haddock);Potatoes:4 large, cut into chips;All-purpose flour:1 cup;Beer:1 cup, cold;Baking powder:1 tsp;Salt:1 tsp;Vegetable oil:for deep frying;Malt vinegar:for serving;Tartar sauce:for serving","Cut potatoes into thick chips and soak in cold water for 30 minutes;Heat oil to 350°F (175°C) in a deep fryer or large pot;Make batter by whisking flour, baking powder, salt, and beer until smooth;Pat fish fillets dry and season with salt;Fry chips in batches for 5-6 minutes until golden, drain on paper towels;Dip fish in batter and fry for 4-5 minutes until golden and crispy;Drain fish on paper towels;Serve immediately with chips, malt vinegar, and tartar sauce",https://images.unsplash.com/photo-1544982503-9f984c14501a?w=500,480,32,45,22
10,Chicken Burrito,Mexican,25,20,4,Easy,"Chicken breast:500g, diced;Flour tortillas:4 large;Black beans:1 can, drained and rinsed;Rice:2 cups, cooked;Cheddar cheese:1 cup, grated;Sour cream:½ cup;Salsa:½ cup;Avocado:1 large, sliced;Cumin:1 tsp;Chili powder:1 tsp;Lime:1, juiced","Season diced chicken with cumin, chili powder, salt, and pepper;Cook chicken in a large skillet over medium heat until fully cooked;Warm tortillas in microwave or dry skillet;Warm black beans in a saucepan;Lay tortilla flat and add rice, chicken, and black beans in center;Top with cheese, sour cream, salsa, and avocado slices;Fold bottom edge up, fold in sides, then roll tightly;Serve immediately with extra salsa and lime wedges",https://images.unsplash.com/photo-1626700051175-6818013e1d4f?w=500,520,35,55,18
11,Beef Stir Fry,Asian,20,10,4,Medium,"Beef sirloin:500g, sliced thin;Bell peppers:2, sliced;Broccoli:2 cups, florets;Soy sauce:¼ cup;Oyster sauce:2 tbsp;Garlic:3 cloves, minced;Ginger:1 tbsp, grated;Vegetable oil:3 tbsp;Cornstarch:1 tbsp;Green onions:2, sliced","Marinate beef slices with 1 tbsp soy sauce and cornstarch for 15 minutes;Heat 2 tbsp oil in a wok over high heat;Stir-fry beef for 2-3 minutes until browned, remove and set aside;Add remaining oil to wok;Stir-fry garlic and ginger for 30 seconds;Add broccoli and bell peppers, stir-fry for 3-4 minutes;Return beef to wok with remaining soy sauce and oyster sauce;Stir-fry for another 2 minutes until everything is heated through;Garnish with green onions and serve over rice",https://images.unsplash.com/photo-1603133872878-684f208fb84b?w=500,320,28,12,18
12,Pancakes,Breakfast,10,15,4,Easy,"All-purpose flour:2 cups;Sugar:2 tbsp;Baking powder:2 tsp;Salt:½ tsp;Milk:1¾ cups;Eggs:2 large;Butter:¼ cup, melted;Vanilla extract:1 tsp;Maple syrup:for serving","In a large bowl, whisk together flour, sugar, baking powder, and salt;In another bowl, whisk together milk, eggs, melted butter, and vanilla;Pour wet ingredients into dry ingredients and stir until just combined (don't overmix);Heat a lightly greased griddle or non-stick pan over medium heat;Pour ¼ cup batter for each pancake onto the griddle;Cook until bubbles form on surface and edges look set, about 2-3 minutes;Flip and cook until golden brown on other side, 1-2 minutes more;Serve hot with butter and maple syrup",https://images.unsplash.com/photo-1565299624946-b28f40a0ca4b?w=500,280,10,45,8
13,Chicken Noodle Soup,Comfort Food,15,30,6,Easy,"Chicken breast:2 pieces, boneless;Egg noodles:8 oz;Chicken broth:8 cups;Carrots:3 medium, sliced;Celery:3 stalks, sliced;Onion:1 medium, diced;Garlic:2 cloves, minced;Bay leaves:2;Thyme:1 tsp, dried;Salt:to taste;Black pepper:to taste","In a large pot, bring chicken broth to a boil;Add chicken breasts and cook for 20 minutes until fully cooked;Remove chicken, let cool, then shred into bite-sized pieces;Add carrots, celery, onion, and garlic to the broth;Add bay leaves and thyme, simmer for 10 minutes;Add egg noodles and cook according to package directions;Return shredded chicken to pot;Season with salt and pepper to taste;Remove bay leaves before serving;Serve hot with crackers or crusty bread",https://images.unsplash.com/photo-1547592166-23ac45744acd?w=500,220,18,25,6
14,Chocolate Cake,Dessert,20,35,12,Medium,"All-purpose flour:1¾ cups;Sugar:2 cups;Cocoa powder:¾ cup;Baking soda:2 tsp;Baking powder:1 tsp;Salt:1 tsp;Eggs:2 large;Buttermilk:1 cup;Hot coffee:1 cup;Vegetable oil:½ cup;Vanilla extract:2 tsp","Preheat oven to 350°F (175°C) and grease two 9-inch round pans;In a large bowl, whisk together flour, sugar, cocoa, baking soda, baking powder, and salt;In another bowl, beat eggs, then add buttermilk, oil, and vanilla;Add wet ingredients to dry ingredients and mix until combined;Gradually stir in hot coffee (batter will be thin);Divide batter evenly between prepared pans;Bake for 30-35 minutes until toothpick inserted in center comes out clean;Cool in pans for 10 minutes, then turn out onto wire racks;Cool completely before frosting",https://images.unsplash.com/photo-1578985545062-69928b1d9587?w=500,320,5,58,10
15,Shrimp Scampi,Seafood,10,15,4,Medium,"Large shrimp:1 lb, peeled and deveined;Linguine pasta:12 oz;Butter:6 tbsp;Olive oil:3 tbsp;Garlic:6 cloves, minced;White wine:½ cup;Lemon juice:3 tbsp;Red pepper flakes:¼ tsp;Fresh parsley:¼ cup, chopped;Parmesan cheese:½ cup, grated","Cook linguine according to package directions until al dente;Pat shrimp dry and season with salt and pepper;Heat olive oil and 2 tbsp butter in a large skillet over medium-high heat;Add shrimp and cook for 1-2 minutes per side until pink;Remove shrimp and set aside;Add garlic and red pepper flakes to the pan, cook for 30 seconds;Add white wine and lemon juice, simmer for 2 minutes;Add remaining butter and cooked pasta to the pan;Return shrimp to pan and toss everything together;Garnish with parsley and Parmesan cheese before serving",https://images.unsplash.com/photo-1563379091639-cdcb3c965321?w=500,480,32,48,18
