dish_id,dish_name,category,cuisine_type,difficulty,prep_time_minutes,cook_time_minutes,total_time_minutes,servings,ingredients,recipe_steps,image_1,image_2,image_3,calories_per_serving,protein_g,carbs_g,fat_g,tags,description
1,Chocolate Cake,Dessert,International,Medium,20,35,55,12,"All-purpose flour:1¾ cups;Sugar:2 cups;Cocoa powder:¾ cup;Baking soda:2 tsp;Baking powder:1 tsp;Salt:1 tsp;Eggs:2 large;Buttermilk:1 cup;Hot coffee:1 cup;Vegetable oil:½ cup;Vanilla extract:2 tsp","Preheat oven to 350°F (175°C) and grease two 9-inch round pans;In a large bowl, whisk together flour, sugar, cocoa, baking soda, baking powder, and salt;In another bowl, beat eggs, then add buttermilk, oil, and vanilla;Add wet ingredients to dry ingredients and mix until combined;Gradually stir in hot coffee (batter will be thin);Divide batter evenly between prepared pans;Bake for 30-35 minutes until toothpick inserted in center comes out clean;Cool in pans for 10 minutes, then turn out onto wire racks;Cool completely before frosting",https://t3.ftcdn.net/jpg/02/10/14/94/360_F_210149442_uQtMQbKDZNDoqia6j4tNzkyPOBpXEyjz.jpg,https://www.shutterstock.com/image-photo/chocolate-cake-berries-600nw-394680466.jpg,https://prettysimplesweet.com/wp-content/uploads/2021/04/chocolate-birthday-cake.jpg,"dessert;chocolate;cake;sweet","A rich and moist chocolate cake perfect for celebrations and chocolate lovers"
2,Momos,Asian,Asian,Medium,45,12,57,25,"All-purpose flour:2 cups;Water:⅓ cup;Salt:½ tsp;Chicken mince:200g;Onion:½ cup, finely chopped;Celery:2 tbsp, finely chopped;Spring onion:½ cup, finely chopped;Ginger:½ tsp, finely chopped;Garlic:½ tsp, finely chopped;Oyster sauce:1 tbsp;Cornflour:1 tsp;Black pepper:¼ tsp","Make dough by mixing flour, salt and lukewarm water until smooth;Cover dough and rest for 20 minutes;Mix chicken mince with onions, celery, spring onions, ginger, garlic, oyster sauce, cornflour, salt and pepper;Knead dough and divide into small portions of 7g each;Roll each portion into thin circles;Place 1 tsp filling in center of each circle;Pleat edges and seal to form momo shape;Steam in a steamer for 10-12 minutes until cooked through;Serve hot with spicy tomato chutney",https://images.squarespace-cdn.com/content/v1/55d729cfe4b00ab3960e7989/1469961911096-IC493RXGBLDHGQSDVD4M/paneer.jpg,https://t3.ftcdn.net/jpg/09/70/22/44/360_F_970224494_xR89Y9hODkPokKlzHUrQQbLviyvZTISO.jpg,https://t3.ftcdn.net/jpg/03/98/52/84/360_F_398528484_ra3Tom42wvihhQfbCXtMqVORILZeUZ5B.jpg,"asian;steamed;dumplings;chicken","Traditional Asian dumplings with thin wrapper and flavorful chicken filling"
3,Chicken Tandoori,Indian,Asian,Medium,15,25,40,8,"Chicken quarters:2 lbs;Plain yogurt:1 cup;Ginger:1 inch, minced;Garlic:2 cloves, minced;Cumin:1 tsp;Cinnamon:1 tsp;Garam masala:1 tsp;Ground coriander:1 tsp;Salt:1 tsp;Smoked paprika:1 tsp;Olive oil:1 tbsp","Preheat oven to 400°F (200°C);In a mixing bowl, mix together ginger, garlic, cumin, cinnamon, garam masala, ground coriander, smoked paprika, salt, olive oil, and plain yogurt;Pat dry the chicken then add to a large mixing bowl;Add marinade and mix well until all chicken is completely coated;Either cover and marinate for up to one day or let sit for 10 minutes at room temperature;Place tin foil on two wire racks and remove each piece of chicken from bowl, shaking off excess marinade;Bake for 20-25 minutes until they begin to char around edges and internal temperature reaches 165°F;Allow chicken to rest for 5 minutes before serving",https://t3.ftcdn.net/jpg/04/68/93/94/360_F_468939407_9Q02XfVQJsKW0ZUEU4axdITcRgu7OPLd.jpg,https://www.yummytummyaarthi.com/wp-content/uploads/2014/10/1-34-1-500x500.jpg,https://i0.wp.com/www.happyandharried.com/wp-content/uploads/2016/11/WHOLE-ROASTED-TANDOORI-SPICED-CHICKEN.jpg,"indian;spicy;grilled;chicken","Authentic Indian grilled chicken marinated in yogurt and aromatic spices"
4,Biryani,Indian,Asian,Hard,45,60,105,6,"Pilao rice:300g;Chicken:500g, chopped into pieces;Salt:to taste;Liquid milk:1 cup;Yogurt:½ cup;Onion:1 large, finely chopped;Cardamom:2;Cinnamon:2;Bay leaf:1;Ginger paste:1 tsp;Garlic paste:1 tsp;Cumin powder:1 tsp;Coriander powder:1 tsp;Soybean oil:4 tbsp","Soak rice in water while preparing other ingredients;Slice onions lengthwise and prepare ginger-garlic paste;Cut chicken into small pieces and mix with yogurt;Heat oil in round-bottom pot over medium heat;Add chopped onions and fry for 3-4 minutes without browning;Add ginger paste, garlic paste, salt, cumin powder and coriander powder, mix well;Add cinnamon, cardamom and bay leaf to the pot;Add yogurt-mixed chicken and spices, mix very well;Wait until chicken changes to light brown color (5-6 minutes) then add milk;Add rice to chicken gravy with enough water so water level is 1 inch higher than rice;Cover pot and cook on low flame until rice is cooked;Add green chili and black pepper before serving;Serve hot",https://assets.cntraveller.in/photos/6218cfdbd84ae9ad8ecff426/master/w_1600%2Cc_limit/sp%2520biryani.jpg,https://t3.ftcdn.net/jpg/01/14/51/60/360_F_114516029_Z2B6FO30AB6ZR3v9WHXjpXmJScaiLtzk.jpg,https://t3.ftcdn.net/jpg/05/66/68/36/360_F_566683667_BeBecGFABNQYkZhquqJxhSj7UOcCY7ZJ.jpg,"indian;rice;spicy;aromatic","Fragrant layered rice dish with tender spiced chicken and aromatic basmati rice"
5,Pizza,Italian,European,Medium,20,15,35,4,"Pizza dough:1 ball;Pizza sauce:¼ cup;Mozzarella cheese:1⅓ cups, freshly grated;Pepperoni:20 slices, cut 3mm thick;Onion:⅓ cup, cut 0.5cm thick;Bacon:⅓ cup, cut into pieces;Capsicum:½ cup, sliced 0.5cm thick;Button mushrooms:⅓ cup, cut 3mm thick;Black olives:¼ cup, sliced","Preheat oven to 475°F (245°C);Roll out pizza dough on floured surface to 12-inch circle;Transfer dough to pizza stone or baking sheet;Spread pizza sauce evenly, leaving 1-inch border for crust;Sprinkle mozzarella cheese over sauce;Add desired toppings: pepperoni, onions, bacon, capsicum, mushrooms, olives;Drizzle with olive oil and season with salt and pepper;Bake for 12-15 minutes until crust is golden and cheese is bubbly;Remove from oven and let cool for 2 minutes;Slice and serve hot",https://thumbs.dreamstime.com/b/pizza-rustic-italian-mozzarella-cheese-basil-leaves-35669930.jpg,https://marketplace.canva.com/MADapg-tRrc/1/thumbnail_large-1/canva-whole-italian-pizza-on-wooden-table-with-ingredients-MADapg-tRrc.jpg,https://i.pinimg.com/736x/f9/6b/d8/f96bd8d65e30ea005ae52bf06e32cfe8.jpg,"italian;cheese;baked;comfort","Classic Italian flatbread topped with cheese and various toppings"
6,Burger,American,American,Easy,15,10,25,4,"Minced beef:500g;Onion:½ medium, diced;Egg:1;Sage and onion stuffing:3 tbsp;Salt:to taste;Black pepper:to taste;Chili flakes:to taste;Haloumi cheese:100g, sliced;Burger buns:4;Lettuce:1 cup, shredded;Tomato:1 large, sliced;Mayonnaise:2 tbsp;Ketchup:2 tbsp;Sweet chili sauce:1 tbsp","Dice half an onion finely;Add minced beef to mixing bowl;Add sage and onion stuffing or breadcrumbs;Season with salt, pepper and chili flakes;Add egg and mix thoroughly with hands;Divide mixture into equal portions and form into patties;Cook haloumi cheese slices in lightly oiled pan until golden;Cook burger patties in lightly oiled pan for 3-4 minutes each side;Toast burger buns if desired;Spread mayo, ketchup and sweet chili sauce on buns;Layer with lettuce, tomato, burger patty and haloumi cheese;Assemble burger and serve with chips",https://st3.depositphotos.com/1000504/19178/i/450/depositphotos_191783046-stock-photo-fresh-tasty-burger.jpg,https://cdn.pixabay.com/photo/2020/10/05/19/55/hamburger-5630646_1280.jpg,https://t4.ftcdn.net/jpg/01/69/56/95/360_F_169569546_zaLG8x4tyIu3SDn1jYWXThVpMjCEbn8Q.jpg,"american;beef;grilled;handheld","Juicy beef patty with cheese and fresh toppings in a soft bun"
7,Mango Shake,Beverage,International,Easy,10,0,10,2,"Ripe mangoes:2 large, peeled and chopped;Milk:1 cup, chilled;Sugar:2 tbsp;Vanilla ice cream:2 scoops;Ice cubes:6-8;Cardamom powder:¼ tsp;Pistachios:1 tbsp, chopped for garnish","Peel and chop ripe mangoes into small pieces;Add mango pieces to blender;Pour in chilled milk;Add sugar according to taste;Add vanilla ice cream scoops;Add ice cubes for extra chill;Add cardamom powder for flavor;Blend all ingredients until smooth and creamy;Taste and adjust sugar if needed;Pour into tall glasses;Garnish with chopped pistachios;Serve immediately while cold",https://www.funfoodfrolic.com/wp-content/uploads/2021/05/Mango-Shake-1.jpg,https://www.cubesnjuliennes.com/wp-content/uploads/2021/04/Mango-Smoothie-1.jpg,https://static.vecteezy.com/system/resources/thumbnails/040/143/772/small/ai-generated-mango-milkshake-closeup-photo.jpg,"beverage;sweet;cold;tropical","Refreshing tropical drink made with ripe mangoes and creamy milk"
8,Noodles,Asian,Asian,Easy,15,8,23,4,"Egg noodles:400g;Chicken breast:300g, sliced;Vegetables:2 cups mixed (carrots, cabbage, bell peppers);Soy sauce:3 tbsp;Oyster sauce:2 tbsp;Garlic:4 cloves, minced;Ginger:1 tbsp, grated;Vegetable oil:3 tbsp;Spring onions:3 stalks, chopped;Sesame oil:1 tsp;Salt:to taste;Black pepper:½ tsp","Boil egg noodles according to package instructions until al dente, drain and set aside;Slice chicken breast into thin strips;Prepare all vegetables by cutting into uniform pieces;Heat oil in large wok or pan over high heat;Add garlic and ginger, stir-fry for 30 seconds;Add chicken and cook until no longer pink;Add vegetables and stir-fry for 3-4 minutes until tender-crisp;Add cooked noodles to the pan;Pour soy sauce and oyster sauce over noodles;Toss everything together for 2-3 minutes;Drizzle with sesame oil and garnish with spring onions;Season with salt and pepper, serve hot",https://www.vegrecipesofindia.com/wp-content/uploads/2021/02/schezwan-noodles-recipe-2-1-500x500.jpg,https://www.wearesovegan.com/wp-content/uploads/2021/11/vegan15minuteeasynoodlesrecipeh1.jpg,https://littlespicejar.com/wp-content/uploads/2016/01/Pan-Fried-Cantonese-Noodles-3-540x720.jpg,"asian;noodles;stir-fry;quick","Savory stir-fried noodles with chicken and fresh vegetables"
9,French Fries,American,American,Easy,15,10,25,4,"Potatoes:4 large;Vegetable oil:for deep frying;Salt:to taste;Black pepper:½ tsp;Paprika:½ tsp;Garlic powder:½ tsp","Wash and peel potatoes;Cut potatoes into uniform fries, about ½ inch thick;Soak cut fries in cold water for 30 minutes to remove excess starch;Pat fries completely dry with paper towels;Heat oil to 350°F (175°C) in deep fryer or large pot;Fry potatoes in small batches for 3-4 minutes (first frying);Remove and drain on paper towels;Increase oil temperature to 375°F (190°C);Fry again for 2-3 minutes until golden brown and crispy;Drain on paper towels and season immediately with salt, pepper, paprika and garlic powder;Serve hot with ketchup or mayo",https://static.vecteezy.com/system/resources/thumbnails/027/536/411/small/delicious-french-fries-on-a-white-background-photo.jpg,https://images.pexels.com/photos/1583884/pexels-photo-1583884.jpeg,https://thumbs.dreamstime.com/b/french-fries-17661700.jpg,"american;fried;crispy;side-dish","Golden crispy potato fries seasoned with salt and spices"
10,Boiled Egg,International,International,Easy,2,10,12,4,"Eggs:4 large;Water:enough to cover eggs;Salt:1 tsp;Ice water:for cooling","Place eggs in a single layer in saucepan;Add enough cold water to cover eggs by 1 inch;Add salt to water;Bring water to rolling boil over high heat;Once boiling, remove pan from heat and cover;Let eggs sit in hot water for desired time: 4-6 minutes for soft-boiled, 8-10 minutes for hard-boiled;Prepare bowl of ice water;Using slotted spoon, transfer eggs to ice water to stop cooking;Let cool for 2-3 minutes;Gently tap and peel eggs under cool running water;Serve immediately or store in refrigerator",https://dieteticdirections.com/wp-content/uploads/2015/11/eggs-hard.jpg,https://www.rachelcooks.com/wp-content/uploads/2021/12/instant-pot-hard-boiled-eggs-1500-7-SQUARE.jpg,https://nomnompaleo.com/wp-content/uploads/2011/07/Perfect-Hard-Boiled-Eggs.jpg,"protein;simple;healthy;breakfast","Simple boiled eggs perfect for breakfast or as protein addition to meals"
11,Sandwich,International,International,Easy,10,5,15,2,"Bread slices:4;Butter:2 tbsp;Cheese slices:2;Ham or turkey:4 slices;Lettuce:2 leaves;Tomato:1 medium, sliced;Onion:¼ medium, sliced;Mayonnaise:1 tbsp;Mustard:1 tsp;Salt:to taste;Black pepper:to taste","Toast bread slices until golden brown if desired;Spread butter on one side of each bread slice;Spread mayonnaise and mustard on two slices;Layer lettuce leaves on buttered side;Add cheese slices over lettuce;Layer ham or turkey slices;Add tomato and onion slices;Season with salt and pepper;Top with remaining bread slices, buttered side down;Press gently and cut diagonally;Secure with toothpicks if needed;Serve immediately with chips or salad",https://png.pngtree.com/png-vector/20210415/ourmid/pngtree-sandwich-nutrition-sandwich-png-image_3219812.jpg,https://thumbs.dreamstime.com/b/sandwich-27721955.jpg,https://www.shutterstock.com/image-photo/sandwich-ham-cheese-vegetables-isolated-260nw-2292399579.jpg,"quick;handheld;lunch;versatile","Classic sandwich with fresh ingredients and your choice of fillings"
12,Curry,Indian,Asian,Medium,20,30,50,6,"Chicken or vegetables:500g;Onions:2 large, chopped;Tomatoes:3 medium, chopped;Garlic:6 cloves, minced;Ginger:2 tbsp, grated;Curry powder:2 tbsp;Turmeric:1 tsp;Cumin seeds:1 tsp;Coriander seeds:1 tsp;Coconut milk:400ml;Vegetable oil:3 tbsp;Salt:to taste;Fresh cilantro:for garnish;Green chilies:2, slit","Heat oil in large pan over medium heat;Add cumin and coriander seeds, let them splutter;Add chopped onions and cook until golden brown;Add minced garlic and grated ginger, cook for 1 minute;Add chopped tomatoes and cook until soft and mushy;Add curry powder, turmeric, and salt, cook for 2 minutes;Add chicken or vegetables and mix well to coat with spices;Cook for 5-7 minutes until chicken changes color;Pour coconut milk and bring to gentle simmer;Add green chilies and simmer for 20-25 minutes until chicken is cooked through;Adjust seasoning with salt;Garnish with fresh cilantro and serve with rice or bread",https://t3.ftcdn.net/jpg/14/57/31/82/360_F_1457318267_3ipAWWvjKUXT9psSTYGSt7ZZFMrehd2N.jpg,https://images.immediate.co.uk/production/volatile/sites/30/2023/12/10-Best-mild-Indian-curry-recipes-4c46c30.jpg,https://img.freepik.com/free-photo/curry-with-chicken-onions-indian-food-asian-cuisine_2829-4415.jpg,"indian;spicy;aromatic;comfort","Flavorful Indian curry with aromatic spices in rich coconut milk base"
13,Masala Pasta,Italian-Indian,Fusion,Easy,15,15,30,4,"Penne pasta:1½ cups;Olive oil:2½ tbsp;Cumin seeds:½ tsp;Garlic:3 cloves, minced;Ginger:½ inch, grated;Onions:½ cup, chopped;Tomatoes:1¼ cups, chopped;Carrots:½ cup, chopped;Green peas:¼ cup;Bell pepper:¼ cup, chopped;Salt:¾ tsp;Red chili powder:½ tsp;Garam masala:½ tsp;Kasuri methi:1 tbsp;Cream:2-3 tbsp;Coriander leaves:2 tbsp, chopped","Boil 6 cups water with 1 tsp salt, add pasta and cook until al dente;Reserve 3-4 tbsp pasta water and drain pasta, rinse with cold water;Heat 1 tbsp oil in pan, add cumin seeds and let them splutter;Add minced garlic and ginger, sauté for 30 seconds;Add chopped onions and cook until translucent;Add tomatoes and cook until soft and mushy;Add carrots, peas, and bell peppers, cook for 3-4 minutes;Add salt, red chili powder, and garam masala;Add cooked pasta and mix well;Add pasta water if needed for consistency;Stir in cream and kasuri methi;Garnish with coriander leaves and serve hot",https://c.ndtvimg.com/2023-03/pn0bt0u_pasta_625x300_30_March_23.jpg,https://www.indianhealthyrecipes.com/wp-content/uploads/2019/05/masala-pasta-480x270.jpg,https://thegaruskitchen.com/wp-content/uploads/2025/02/maggi-masala-pasta-recipe-500x500.jpeg,"pasta;indian;fusion;spicy","Indian-style pasta with aromatic spices and fresh vegetables in creamy tomato base"
14,Samosa,Indian,Asian,Medium,45,20,65,20,"All-purpose flour:2 cups;Oil:4 tbsp + for deep frying;Salt:1 tsp;Water:6-7 tbsp;Potatoes:4 large, boiled and cubed;Green peas:½ cup;Onions:1 medium, finely chopped;Ginger:1 tbsp, grated;Green chilies:2, finely chopped;Cumin seeds:1 tsp;Coriander seeds:1 tsp;Turmeric powder:½ tsp;Red chili powder:1 tsp;Garam masala:1 tsp;Coriander leaves:2 tbsp, chopped;Lemon juice:1 tbsp","Make dough by mixing flour, 4 tbsp oil, salt and water until smooth;Cover and rest for 30 minutes;Heat 2 tbsp oil in pan, add cumin and coriander seeds;Add chopped onions and sauté until golden;Add ginger and green chilies, cook for 1 minute;Add boiled potatoes and green peas;Add turmeric, red chili powder, garam masala and salt;Mix well and cook for 5 minutes;Add coriander leaves and lemon juice, let filling cool;Divide dough into small balls and roll into ovals;Cut each oval in half and form cone shapes;Fill with potato mixture and seal edges with water;Heat oil to 350°F and deep fry samosas until golden brown;Serve hot with mint chutney",https://www.recipetineats.com/tachyon/2021/02/Samosas-on-plate-SQ.jpg,https://c.ndtvimg.com/2023-03/0m65kep_samosa_625x300_10_March_23.jpg,https://www.indianhealthyrecipes.com/wp-content/uploads/2021/12/samosa-recipe.jpg,"indian;fried;snack;crispy","Crispy triangular pastries filled with spiced potato and pea mixture"
15,Aloo Paratha,Indian,Asian,Medium,30,20,50,6,"Whole wheat flour:2 cups;Water:¾ cup;Salt:1 tsp;Oil:2 tbsp;Potatoes:4 medium, boiled and mashed;Onions:1 small, finely chopped;Green chilies:2, finely chopped;Ginger:1 tsp, grated;Cumin powder:½ tsp;Coriander powder:½ tsp;Red chili powder:½ tsp;Garam masala:½ tsp;Coriander leaves:2 tbsp, chopped;Ghee or butter:for cooking","Make dough by mixing flour, salt, oil and water until smooth;Knead well and rest for 20 minutes;Mix mashed potatoes with onions, green chilies, ginger and all spices;Add chopped coriander leaves to potato mixture;Divide dough into portions and roll into small circles;Place potato filling in center of each circle;Gather edges and seal, then gently roll into flatbread;Heat tawa or griddle over medium heat;Cook paratha for 2-3 minutes until bubbles form;Flip and cook other side for 2 minutes;Apply ghee on both sides and cook until golden spots appear;Serve hot with yogurt, pickle and butter",https://kvfoods.in/wp-content/uploads/2020/08/maxresdefault.jpg,https://img-global.cpcdn.com/recipes/f15fd6be40e70d3b/400x400cq70/photo.jpg,https://cookingfromheart.com/wp-content/uploads/2020/09/Aloo-Paratha-4.jpg,"indian;bread;stuffed;breakfast","Traditional Indian stuffed flatbread filled with spiced mashed potatoes"